Virtue,Vice,Need,Means,Persist,Ought,IPAdj,IndAdj,RCEthic,RspTot,SklOth,Class_related
ABILITY,ABJECT,CONCERN,ABSORB,ACCUSTOM,DEFERENCE,ABJECT,ABOMINABLE,ADHERE,ABUSE,ADEPT,BACKGROUND
ABLE,ABNORMAL,COVET,ACCESS,ALWAYS,DESERVEDLY,ABRASIVE,ABSENT,ADHERENCE,ACKNOWLEDGMENT,APPARATUS,BEGINNINGS
ABSOLUTE,ABOMINABLE,CRAVE,ACCORD,CONSOLIDATE,ETIQUETTE,ACCESSIBLE,ABSENT-MINDED,APPALL,ADMIRAL,APPLY,BENEATH
ACCEPTABLE,ABRASIVE,CURIOSITY,ADVANCE,CONSTANT,FORMALITY,ACCURSED,ABSORBENT,BETRAY,ADMIRATION,ARDUOUS,BIRTH
ACCESSIBLE,ABSENTEE,CURIOUS,ALONG,CONTINUAL,IMPERATIVE,ACRIMONIOUS,ACCOUNTABLE,BETRAYAL,ADMIRE,ART,BORGEOIS
ACCLAIM,ABSURD,DECADENCE,ALONGSIDE,CONTINUE,MORALISTIC,ADMIRABLE,ADAMANT,BETTER,ADMISSION,BAKE,BORGEOISIE
ACCLAMATION,ABSURDITY,DECADENT,ALTERNATE,CONTINUITY,MUST,ADVISABLE,ADAPTABLE,BOARD,ADMIT,BALL,CLASS
ACCOLADE,ABUSE,DEDICATE,APPLY,CONTINUOUS,OUGHT,AFFABLE,ADAPTIVE,BOUND,AGE,BEAR,CLASSISM
ACCOMMODATION,ACCURSED,DESIRE,APPRAISAL,DEADLOCK,PIETY,AGHAST,ADHERENT,BRAVE,AIR,BLUNDER,CLASSLESS
ACCURACY,ACRIMONY,DESIROUS,APPROACH,DELAY,POLITENESS,ALLOWABLE,ADHESIVE,BRAVERY,ALMIGHTY,BORE,STRUGGLE
ACCURATE,ADULTERATION,ENGAGE,ASCERTAINMENT,ELAPSE,PROPRIETY,ALOOF,ADJUSTABLE,BROKE,ANCESTOR,BOX,COMMON
ACCURATENESS,ADULTERY,ENVIOUS,ASSESSMENT,ENDURANCE,PRUDENCE,ALTRUISTIC,ADORABLE,CAUSE,ANXIOUS,BRIDGE,EGALITARIAN
ACCUSTOM,ADVERSE,ENVY,ATTEMPT,ENDURE,PRUDENT,AMIABLE,ADROIT,CENSORSHIP,APOLOGIZE,BUILD,GENTEEL
ACTUAL,ADVERSITY,FANATIC,BALANCE,EQUILIBRIUM,RESPECTFUL,AMICABLE,ADVENTURESOME,CHARACTER,APOLOGY,CALL,HIERARCHICAL
ACTUALITY,AFFECTATION,FANATICAL,BOOKKEEPING,ETERNAL,REVERE,ANOMALOUS,ADVENTUROUS,CHEAT,APPLAUSE,CAREER,HIERARCHY
ADAPTABILITY,AFFLICTION,FASCINATION,BOUND,EVER,REVERENCE,ANTI-SOCIAL,AFFLUENT,CLEAN,APPRECIATE,CEMENT,SNOBBERY
ADAPTABLE,AGGRAVATION,FORWARD,BUDGET,FAST,REVERENT,ANTIQUATED,AFLOAT,COMMITMENT,APPRECIATION,CHARM,MERITOCRACY
ADAPTATION,AGGRESSION,HEDONISTIC,BUILD,FOREVER,REVERENTLY,APOLOGETIC,AGILE,CONFESS,APPROPRIATE,CLEVER,POPULIST
ADAPTIVE,AGGRESSIVENESS,HELP,BY,GONE,RIGHTEOUS,APPRECIATIVE,AIMLESS,CONFESSION,APPROVAL,COMPETENCE,SNOB
ADEPT,AGHAST,HOPE,CALCULATE,GRADUAL,RIGHTEOUSNESS,APPREHENSIVE,ALARMING,CONSCIENCE,APPROVE,COMPETENT,SOCIALLY
ADEPTNESS,AGITATION,HOPEFUL,CAPABILITY,HABITUAL,RIGHTFUL,AUTHORITATIVE,ALIGHT,CORRUPT,ASHAMED,COMPOSE,SOCIETY
ADEQUATE,ALARMING,IMPATIENT,CAPACITY,INCESSANT,SCRUPLES,AUTOCRATIC,ALMIGHTY,CORRUPTION,ASSAIL,CONSTRUCT,SOLIDLY
ADJUST,ALIENATION,IMPLORE,CAREER,INEVITABILITY,SCRUPULOUS,AUTONOMOUS,AMAZING,CRIMINAL,AVERAGE,CONSTRUCTION,STRATIFIED
ADJUSTMENT,AMISS,INCLINATION,CASEWORK,INEVITABLE,,AVARICIOUS,AMENABLE,DECENCY,AWAIT,CRUDE,STRATIFICATION
ADMIRABLE,ANIMOSITY,INCLINE,CHALLENGE,INVARIABLE,,BASHFUL,ANGELIC,DELINQUENCY,BALL,CUT,ACCENT
ADMIRATION,ANNIHILATION,INTEND,CHARGE,INVARIABLY,,BENEFICENT,ANTITRUST,DELINQUENT,BANQUET,DEMAND,PROPER
ADORABLE,ANTI-SOCIAL,INTENT,CHECK,KEEP,,BENEVOLENT,APATHETIC,DEPLORABLE,BASTARD,DIFFICULT,WORKING
ADORNMENT,ANTIPATHY,INTEREST,CHORE,LAST,,BLOODTHIRSTY,ARDENT,DEPLORE,BEAR,DIFFICULTY,LOWER
ADROIT,APATHY,INTERESTED,COMPEL,LEAD,,BLUNT,ARDUOUS,DESERT,BEG,DILIGENCE,UPPER
ADROITLY,APPALL,IRRESISTIBLE,COMPETITION,MAINTAIN,,BROKEN-HEARTED,ARISEN,DESERVE,BELITTLE,DILIGENT,MIDLLE
ADULT,ARBITRARY,LACK,COMPULSION,PASS,,BROTHERLY,ARISTOCRATIC,DING,BERATE,DUMB,CASTE
ADVANCE,ARDUOUS,LUST,CONDITION,PERMANENT,,BRUSQUE,ASTUTE,DIRTY,BETTER,EFFECTIVE,ARISTOCRACY
ADVANTAGE,ARROGANCE,MOTIVATED,CONSIDER,PERPETUAL,,BURDENSOME,ASUNDER,DUTY,BIGOTRY,EFFECTIVENESS,INTERCLASS
ADVANTAGEOUS,ARROGANT,MOTIVATION,CONSIDERATION,PERPETUATE,,CALLOUS,ATROCIOUS,EARNEST,BIRTHDAY,EFFICIENCY,ANTICLASS
AFFABILITY,ARTIFICIAL,MOTIVE,CORRELATE,PERSEVERE,,CANDID,ATTUNE,EQUITABLE,BIRTHPLACE,EFFICIENT,CLASSY
AFFABLE,ASSAULT,NEED,CRITICAL,PERSIST,,CAPRICIOUS,AUDACIOUS,ETHICAL,CADILLAC,ENABLE,ESTATE
AFFINITY,ATROCIOUS,NEEDY,CRUCIAL,PERSISTENCE,,CAPTIVE,AUDIBLE,ETHICS,CELEBRATE,ERROR,POOR
AGILE,ATTACK,PREFER,CURE,PREVAIL,,CHARITABLE,AUSPICIOUS,FAIR,CELEBRATION,ETRANS,RICH
AGILITY,AUDACIOUS,QUENCH,DEAL,PROGRESS,,CHIVALROUS,AUSTERE,FAITH,CEREMONY,EXPERT,PRIVILEGE
AID,AUDACITY,RELISH,DEBT,PROLONG,,COERCIVE,AVID,FALSE,CHILDISH,FACULTY,WEALTH
ALERTNESS,AVARICE,SAVOR,DECIDE,STATUS,,COMBATANT,AWARE,FINE,CLASS,FAIL,
