Strong,Weak,Active,Passive,Politics
ABILITY,ABANDON,ABIDE,ABATE,ADMINISTRATION
ABLE,ABANDONMENT,ABOLISH,ABDICATE,ADVERSARY
ABOLISH,ABDICATE,ABSCOND,ABHOR,ALLIANCE
ABOMINABLE,ABJECT,ABSOLVE,ABJECT,ALLIED
ABRASIVE,ABSCOND,ACCEDE,ABOUND,ALLY
ABSOLUTE,ABSENCE,ACCELERATE,ABSENT,AMBASSADOR
ABUNDANCE,ABSENT,ACCELERATION,ABSENT-MINDED,AMENDMENT
ABUNDANT,ABSENT-MINDED,ACCENTUATE,ACCEPT,ANARCHIST
ACCELERATE,ABSENTEE,ACCOMMODATE,ACCEPTANCE,ANARCHY
ACCELERATION,ADDICT,ACCOMPANY,ACCUSTOM,ANTITRUST
ACCESSION,ADDICTION,ACCOMPLISH,ACHE,ARMISTICE
ACCOMPLISH,ADMIT,ACCOMPLISHMENT,ACRIMONY,AUTOCRAT
ACCOMPLISHMENT,AFFLICTION,ACCOST,ADHERE,AUTOCRATIC
ACHIEVE,AFRAID,ACCOUNT,ADJOURNMENT,BALLOT
ACQUIRE,ALIBI,ACCRUE,ADJUSTMENT,BANISH
ACQUISITION,ALLEGE,ACCUMULATE,ADMIRE,BANISHMENT
ACT,ALONE,ACCUMULATION,ADMISSIBLE,BILL
ACTION,AMATEUR,ACHIEVE,ADMISSION,BODY
ACTIVE,AMBIVALENT,ACHIEVEMENT,ADMIT,BORDER
ADAMANT,ANCIENT,ACQUIRE,ADOPT,CABINET
ADAPT,ANTIQUATED,ACQUISITION,ADVANCE,CAMPAIGN
ADAPTABILITY,ANXIETY,ACT,AFFLICTION,CAMPAIGNER
ADAPTABLE,ANXIOUS,ACTION,AFRAID,CANDIDATE
ADAPTATION,ANXIOUSNESS,ACTIVE,AGONIZE,CAPITAL
ADAPTIVE,APART,ACTIVITY,AGREE,CAPITALISM
ADD,APATHETIC,ACTOR,AIL,CAPITOL
ADDITION,APATHY,ADAPT,AIMLESS,CENSUS
ADDITIONAL,APOLOGETIC,ADDRESS,ALIBI,CHANCELLOR
ADEPT,APOLOGIZE,ADMINISTER,ALLOW,CITIZEN
ADEPTNESS,APOLOGY,ADMINISTRATION,ALOOF,CIVIL
ADJUST,APPREHENSIVE,ADMINISTRATIVE,ANGUISH,COALITION
ADMINISTER,ASHAMED,ADMITTANCE,ANTICIPATE,COLD
ADMINISTRATION,ASLEEP,ADMONISH,ANTICIPATION,COLONIAL
ADMINISTRATIVE,ASTRAY,ADMONITION,ANXIETY,COLONY
ADMINISTRATOR,ASUNDER,ADOPT,ANXIOUS,COMBAT
ADMIRATION,ATROPHY,ADORE,ANXIOUSNESS,COMMISSIONER
ADMIRER,AVERAGE,ADORN,APATHETIC,COMMON
ADMONISH,AVERT,ADVANCE,APATHY,COMMONWEALTH
ADORN,AVOID,ADVENTURE,APPEAL,COMMUNISM
ADROIT,AVOIDANCE,ADVENTURESOME,APPEAR,COMMUNIST
ADROITLY,AWKWARD,ADVENTUROUS,APPEARANCE,CONFEDERATE
ADULATION,AWKWARDNESS,ADVOCATE,APPRECIATE,CONFEDERATION
ADULT,BABY,AFFAIR,APPRECIATION,CONFERENCE
ADVANCE,BACKWARD,AFFECT,APPREHENSIVE,CONGRESS
ADVANTAGE,BACKWARDNESS,AFFILIATE,APPROACH,CONGRESSIONAL
ADVANTAGEOUS,BAIL,AFFIX,ASHAMED,CONGRESSMAN
ADVENTURESOME,BALK,AFFLICT,ASLEEP,CONGRESSMEN
ADVENTUROUS,BANE,AGGRAVATE,ASSIMILATE,CONSERVATISM
ADVOCATE,BANTER,AGGRAVATION,ASSOCIATE,CONSERVATIVE
AFFINITY,BARREN,AGGRESSION,ASSUME,CONSPIRACY
AFFIRM,BASHFUL,AGGRESSIVE,ASSUMPTION,CONSTITUTION
AFFLICT,BEAT,AGGRESSIVENESS,ASTRAY,CONSTITUTIONAL
AFFORD,BEG,AGGRIEVE,ASUNDER,CONVENTION
AFLOAT,BEGGAR,AGITATE,ATROPHY,CORPS
AGGRAVATE,BELONG,AGITATION,ATTENTION,COUNCIL
AGGRAVATION,BEND,AID,ATTENTIVE,COUNTRY
AGGRESSION,BENT,AIM,ATTEST,COUNTY
AGGRESSIVE,BEREAVEMENT,ALARM,AVAIL,COURT
AGGRESSIVENESS,BEREFT,ALERT,AVERSION,COURTLY
AGILE,BESEECH,ALIVE,AVERT,CROWN
AGILITY,BIT,ALLEVIATE,AVOID,CRUSADE
AGITATE,BLAND,ALTER,AVOIDANCE,CRUSADER
AGITATION,BLEED,ALTERNATE,AWAIT,DEAL
AGREEMENT,BLEMISH,AMBITIOUS,AWARE,DEBATE
AID,BLIND,AMBUSH,AWARENESS,DELEGATE
AIR,BLINDNESS,AMELIORATE,BALK,DELEGATION
ALERT,BLOCKHEAD,AMEND,BANE,DEMOCRACY
ALIVE,BLOODSHED,AMPLIFY,BARREN,DEMOCRAT
ALLIANCE,BLUNDER,AMPUTATE,BASHFUL,DEMOCRATIC
ALLIED,BLUR,AMUSE,BEAT,DEMONSTRATION
ALLY,BONDAGE,ANALYSIS,BECAME,DICTATE
ALMIGHTY,BORROW,ANALYTIC,BECOME,DICTATOR
ALTER,BOUND,ANALYTICAL,BEEN,DICTATORIAL
AMAZEMENT,BOW,ANALYZE,BEFIT,DICTATORSHIP
AMAZING,BREAK,ANGER,BEFITTING,DIPLOMACY
AMBITION,BREAKDOWN,ANGRY,BEING,DIPLOMATIC
AMBITIOUS,BRITTLE,ANIMATION,BELIEF,DISCHARGE
AMBUSH,BROKE,ANNIHILATE,BELIEVE,DRAFT
AMPLE,BROKEN-HEARTED,ANNOY,BELIEVER,ELECT
AMPLIFY,BUCKLE,ANOINT,BELONG,ELECTION
AMPLY,BUM,ANSWER,BEND,ELITE
ANCHOR,BUNGLE,ANTAGONISM,BENIGN,EMANCIPATION
ANTAGONISM,BURDEN,ANTAGONISTIC,BENT,EMBASSY
ANTAGONISTIC,CANNOT,ANTAGONIZE,BEREAVEMENT,EMPEROR
ANTAGONIZE,CAPITULATE,APPEASE,BITTER,EMPIRE
APPRECIABLE,CAPTIVE,APPEND,BITTERNESS,ENSLAVE
APPREHENSION,CAREEN,APPLAUD,BLEED,ENTANGLE
APPROPRIATE,CAVE,APPLY,BLESS,ENTANGLEMENT
APPROVE,CEASE,APPOINT,BLINK,EQUALITY
APT,CHEAP,APPOINTMENT,BLOCK,ESTABLISHMENT
APTITUDE,CHEAPEN,APPREHEND,BONDAGE,EXCHANGE
ARDENT,CHOKE,APPREHENSION,BORE,FASCIST
ARISE,CHRONIC,APPROACH,BORN,FEDERAL
ARM,CLING,ARBITRATE,BOUND,FEDERATION
ARMED,CLUNG,ARGUE,BOW,FEUDAL
ARMY,COLLAPSE,ARGUMENT,BREAK,FLAG
AROSE,COMMONER,ARISE,BREAKDOWN,FREEDOM
ARREST,CONCEDE,ARM,BRISTLE,FRONTIER
ARROGANT,CONCESSION,ARMED,BROKE,GOVERN
ARTICULATE,CONFESS,AROSE,BUCKLE,GOVERNMENT
ASCEND,CONFESSION,ARRANGE,BURN,GOVERNMENTAL
ASCENT,CONFORM,ARRANGEMENT,CALM,GOVERNOR
ASSAIL,CONFORMITY,ARREST,CAPITULATE,HOUSE
ASSAULT,CONFUSE,ARRIVAL,CAPTIVE,HUMANITARIAN
ASSERT,CONFUSION,ARRIVE,CAREEN,IDEOLOGICAL
ASSERTION,CONTROL,ARTICULATE,CASUAL,IDEOLOGY
ASSET,CONVICT,ASCEND,CATCH,IMPERIAL
ASSIST,COVET,ASCENT,CAVE,IMPERIALIST
ASSISTANCE,COWARD,ASCERTAIN,CEASE,INDEPENDENCE
ASSOCIATION,CRACK,ASCERTAINMENT,CHANCE,INDEPENDENT
ASSURANCE,CRAVE,ASCRIBE,CHANGE,INTERNATIONAL
ASSURE,CRAWL,ASK,CHANGEABLE,INTERSTATE
ASSUREDLY,CREDULOUS,ASPIRE,CHERISH,INVADE
ASTOUND,CREEP,ASSAIL,CHOICE,IRON
ATHLETIC,CREPT,ASSASSINATE,CHOOSE,JUNTA
ATOMIC,CRUMBLE,ASSAULT,CHOSE,JURISDICTION
ATTACK,CRUMPLE,ASSEMBLE,CHOSEN,KING
ATTAIN,DEAD,ASSERT,CHRONIC,KINGDOM
ATTAINMENT,DEADLOCK,ASSIGN,CHUCKLE,LABOR
ATTRACT,DEARTH,ASSIGNMENT,CLOG,LEAGUE
ATTRACTION,DEATH,ASSIST,CLOSE,LEFT
AUDACIOUS,DEBTOR,ASSISTANCE,COAST,LEGION
AUDACITY,DECAY,ASSISTANT,COEXISTENCE,LEGISLATION
AUDIBLE,DECLINE,ASSOCIATE,COINCIDE,LEGISLATIVE
AUSTERE,DECREASE,ASSOCIATION,COINCIDENCE,LEGISLATOR
AUTHORITARIAN,DEFECT,ASTOUND,COLD,LIBERAL
AUTHORITATIVE,DEFECTIVE,ATE,COLLAPSE,LIBERALISM
AUTHORITY,DEFENDANT,ATTACH,COMMIT,LIBERATION
