Emotions,NegFeel,PosFeel,SureFeel,UncertFeel
ADMIRATION,ABNORMAL,ACCEPT,ABOVE,ABOUT
ADMIRER,ADVERSE,ACCEPTABLE,ABSOLUTE,ACCOUNT
ADORE,AGAINST,ACCEPTANCE,ACCOUNT,ADDITION
ADULATION,AGONY,ACCORD,ACTUAL,ALMOST
AFFECTION,ALARM,ADVENTUROUS,ACTUALITY,AMBIGUITY
AFFECTIONATE,AMISS,ADVISABLE,ACUTE,AMBIGUOUS
AFRAID,ANIMOSITY,APPEAL,AFTER,AMBIVALENT
AGGRESSIVE,ANNOY,ARDENT,ALL,APPARENT
ALIENATION,ANNOYANCE,ATTACHMENT,ALONE,APPEAR
ALMIGHTY,ANTAGONISM,AUSPICIOUS,ALTOGETHER,APPROXIMATE
AMBIVALENT,ANTAGONISTIC,BEFIT,ALWAYS,APPROXIMATELY
AMOUR,ANTAGONIZE,BENEFICIAL,APPARENT,ASIDE
AMUSE,ARBITRARY,BENEVOLENCE,ASSURE,AVERT
ANGER,ARID,BEST,ASSUREDLY,AVOID
ANGRY,ARROGANT,BETTER,ASSUREDNESS,AVOIDANCE
ANGUISH,ATROCIOUS,BRIGHT,BASIC,BARELY
ANNOYANCE,AUTHORITARIAN,BRILLIANT,BOARD,CAREFUL
ANTAGONISM,AWFUL,CENTER,BOUND,CASE
ANTAGONISTIC,AWKWARD,CHUCKLE,CASE,CATCH
ANXIETY,BAD,COMPASSION,CERTAIN,CAUTION
ANXIOUS,BADLY,COMPASSIONATE,CERTAINTY,CHANCE
ANXIOUSNESS,BLEAK,COMPATIBLE,COMPLETE,CONDITION
APPREHENSION,BOARD,CONVENIENT,CONFIRM,CONFUSE
APPREHENSIVE,BORE,CORRECT,CONSIDERABLE,CONFUSION
ASHAMED,BOTHER,DECENT,COUNTLESS,CONSIDER
ASSURE,BOTHERSOME,DEDICATE,COURSE,CONTINGENCY
ATTACHMENT,COLLAPSE,DEDICATION,CRUCIAL,CONTINGENT
ATTITUDE,CONDEMN,DEMOCRATIZATION,DEAR,DEBATE
AWE,CONTEMPTUOUS,DEPENDABLE,DECIDE,DEPEND
BASHFUL,CROSS,EAGER,DECISIVE,DILEMMA
BELLIGERENT,CRUEL,ENTHUSIASTIC,DEFINITE,DISTURB
BERSERK,CRUELTY,EXCELLENT,DEFINITIVE,DOUBT
BESET,CRY,EXEMPLARY,DETERMINE,DOUBTFUL
BITTER,CURT,FANTASTIC,DOUBT,DUBIOUS
BITTERNESS,DAGGER,FAVOR,DOUBTLESS,EAR
BLISS,DAMN,FAVORABLE,DRASTIC,EITHER
BLISSFUL,DANGER,FERVENTLY,EARTH,EQUIVOCAL
BRISTLE,DANGEROUS,FORTUNATE,EASY,EVADE
BROKEN-HEARTED,DEAL,FORTUNE,EMPHASIS,EVENT
BROOD,DENUNCIATION,FORWARD,EMPHASIZE,GAMBLE
CALLOUS,DESPISE,GENIAL,EMPHATIC,HARD
CALM,DETEST,GENTLE,ENOUGH,HEDGE
CALMNESS,DETRIMENTAL,GLORIOUS,ENTIRE,HESITANCY
CAREFREE,DISAVOW,GLORY,ESPECIALLY,HESITANT
CERTAIN,DISAVOWAL,GOOD,ESSENTIAL,HESITATE
CHEERFUL,DISGUST,GRAND,EVEN,HESITATION
CHEERY,DISLIKE,GREET,EVIDENT,HIT
COCKINESS,DISMAY,GRIN,EXCEPTIONAL,HORN
COCKY,DISPLEASURE,HAPPY,EXTENSIVE,HOWEVER
COLLECT,DISSATISFACTION,INSPIRE,EXTRAORDINARY,IF
COMMISERATION,DISSENSION,INVALUABLE,EXTREME,INDECISION
COMPASSION,DISTRUST,INVITE,FACT,INDECISIVE
COMPASSIONATE,DUMP,KEEN,FAR,INDECISIVENESS
CONCERN,EMBITTER,KIND,FAR-REACHING,INDEFINITE
CONFIDENCE,EPITHET,KINDNESS,FINE,INSTABILITY
CONFIDENT,EXCESSIVE,LEAD,FIRST,INSTABLE
CONTEMPT,FED,LIKE,FUNDAMENTAL,INSTANCE
