IndAdj,IPAdj,Apparel
ABOMINABLE,ABJECT,apparel
ABSENT,ABRASIVE,attire
ABSENT-MINDED,ACCESSIBLE,bandanna?
ABSORBENT,ACCURSED,cap?
ACCOUNTABLE,ACRIMONIOUS,beanie?
ADAMANT,ADMIRABLE,belt?
ADAPTABLE,ADVISABLE,beret?
ADAPTIVE,AFFABLE,bikini?
ADHERENT,AGHAST,blazer
ADHESIVE,ALLOWABLE,bloomers
ADJUSTABLE,ALOOF,blouse?
ADORABLE,ALTRUISTIC,boot?
ADROIT,AMIABLE,bow
ADVENTURESOME,AMICABLE,boxers
ADVENTUROUS,ANOMALOUS,bra
AFFLUENT,ANTI-SOCIAL,bracelet?
AFLOAT,ANTIQUATED,brassiere
AGILE,APOLOGETIC,breeches
AIMLESS,APPRECIATIVE,briefs
ALARMING,APPREHENSIVE,buckle?
ALIGHT,AUTHORITATIVE,button?
ALMIGHTY,AUTOCRATIC,caftan
AMAZING,AUTONOMOUS,cap
AMENABLE,AVARICIOUS,cape
ANGELIC,BASHFUL,cardigan
ANTITRUST,BENEFICENT,chemise
APATHETIC,BENEVOLENT,cloak
ARDENT,BLOODTHIRSTY,clogs
ARDUOUS,BLUNT,clothes
ARISEN,BROKEN-HEARTED,clothing
ARISTOCRATIC,BROTHERLY,coat?
ASTUTE,BRUSQUE,collar
ASUNDER,BURDENSOME,corset
ATROCIOUS,CALLOUS,coveralls
ATTUNE,CANDID,cuff?
AUDACIOUS,CAPRICIOUS,culottes
AUDIBLE,CAPTIVE,dress?
AUSPICIOUS,CHARITABLE,dungarees
AUSTERE,CHIVALROUS,earmuffs
AVID,COERCIVE,earrings
AWARE,COMBATANT,fashion
BALMY,COMMENSURATE,fedora
BANAL,COMMODIOUS,fez
BANKRUPT,COMMUNAL,flip-flops
BARBAROUS,CONDESCENDING,frock?
BARREN,CONGENIAL,fur
BEASTLY,CONGRATULATORY,garment?
BEAUTEOUS,CONSIDERATE,garters
BEFITTING,CONTAGIOUS,gilet
BELATED,CORDIAL,girdle
BELLIGERENT,CORROSIVE,glasses
BERSERK,CORRUPT,gloves
BESET,DEBATABLE,gown
BITCHY,DECEITFUL,handbag?
BIZARRE,DEFIANT,handkerchief
BLAMELESS,DEPENDENT,hat
BLAND,DICTATORIAL,headscarf
BLATANT,DISHONEST,heels
BLINDNESS,DISINGENUOUS,helmet
BLISSFUL,DISOBEDIENT,hem
BLITHE,DISTRUSTFUL,hoodie
BLOCKHEAD,ENVIOUS,hosiery
BOASTFUL,ESTRANGED,housecoat
BOGUS,FILIAL,jacket
BOISTEROUS,GULLIBLE,jeans
BONNY,HARMONIOUS,jewelry
BOUNDLESS,HURTFUL,jumper
BOUNTIFUL,INACCESSIBLE,jumpsuit
BRAINY,INSEPARABLE,kerchief
BRAT,INTOLERABLE,khakis
BRAZEN,IRRESISTIBLE,kilt
BRITTLE,LAUDABLE,kimono
BRUTISH,LIKABLE,knickers
BUOYANT,LONESOME,lapel
CAREFREE,MAGNETIC,leg warmers
CEASELESS,MALICIOUS,leggings
CEREMONIAL,MERCIFUL,leotard
CHAFE,MERCILESS,lingerie
CHAOTIC,MURDEROUS,loafers
CHASTE,NOSEY,miniskirt
CHIC,OBEDIENT,mittens
CHILDISH,OUTGOING,moccasins
CLAMOROUS,PEERLESS,neckerchief
CLUMSY,PERSUASIVE,necklace
COARSE,PITIFUL,nightgown
COCKY,PITILESS,nightshirt
